Faculty_Full_Name,Rank,Professor_Type,Faculty_Author_Affiliation,pmids,pub_mesh_terms
"Martinez, Christopher",asst prof,research,"Martinez, Christopher[Author] AND Irvine[Affiliation] OR Martinez, C[Author] AND Irvine[Affiliation]","['39906576', '39735368', '39430647', '38964850', '36252009', '35881791', '34989395']","Animals; Biomechanical Phenomena; Feeding Behavior; Jaw; Predatory Behavior; Perciformes; Mandible; Animals; Carbon; Ecosystem; Fishes; Phylogeny; Water; Animals; Biological Evolution; Coral Reefs; Extinction, Biological; Feeding Behavior; Fishes; Male; Somatotypes; Animals; Biomechanical Phenomena; Feeding Behavior; Fishes; Jaw; Mandible; Predatory Behavior"
"Martiny, Adam",prof,research,"Martiny, Adam[Author] AND Irvine[Affiliation] OR Martiny, A[Author] AND Irvine[Affiliation]","['40280934', '40084855', '39903118', '38899067', '38740930', '38661581', '38526088', '38513256', '38498438', '37798477', '37454234', '36965002', '36407846', '36369310', '36273241', '35014872']","Microbiota; Biodiversity; Climate Change; Seawater; Seasons; Ecosystem; California; El Nino-Southern Oscillation; Biomass; Oceans and Seas; Prochlorococcus; Carbon; Bacteria; Phosphates; Nitrates; Oceans and Seas; Phytoplankton; Seawater; Food Chain; Nitrogen Fixation; Metagenomics; Bacteria; Metagenome; Microbiota; Uncertainty; Escherichia coli; Anti-Bacterial Agents; Drug Resistance, Bacterial; Microbial Sensitivity Tests; Humans; Genetic Variation; Escherichia coli Infections; Metagenomics; Drug Resistance, Multiple, Bacterial; Climate Change; Earth, Planet; Models, Theoretical; Bacteria; Biodiversity; Humans; Ecosystem; Ecosystem; Synechococcus; Proteome; Bayes Theorem; Temperature; Nitrogen; Synechococcus; Temperature; Phytoplankton; Nutrients; Carbon; Nitrogen; Life History Traits; Soil; Soil Microbiology; Ecosystem; Bacteria; Phylogeography; Phylogeny; Prochlorococcus; Seawater; Ecotype; Ecotype; Prochlorococcus; Seawater; Indian Ocean; Metagenome; Microbiota"
"Martiny, Jennifer",prof,research,"Martiny, Jennifer[Author] AND Irvine[Affiliation] OR Martiny, J[Author] AND Irvine[Affiliation]","['39692482', '39495619', '38742890', '38740930', '38584646', '38526088', '38506671', '37798477', '37747204', '37674721', '37664956', '37268699', '36965002', '36731905', '36690342', '36629415', '36308707', '35778440']","Soil Microbiology; Microbiota; Climate Change; Carbon Sequestration; Soil; Carbon; Greenhouse Gases; Ecosystem; Droughts; Soil Microbiology; Bacteria; Ecosystem; Plant Leaves; Metagenome; Stress, Physiological; Soil; Drought Resistance; Dietary Fiber; Humans; Gastrointestinal Microbiome; RNA, Ribosomal, 16S; Feces; Bacteria; Phylogeny; Metagenomics; Bacteria; Metagenome; Microbiota; Uncertainty; Climate Change; Earth, Planet; Models, Theoretical; Bacteria; Biodiversity; Humans; Ecosystem; Soil Microbiology; Microbiota; Soil; Bacteria; Plant Leaves; Life History Traits; Soil; Soil Microbiology; Ecosystem; Bacteria; Wildfires; Microbiota; Mycobiome; Bacteria; Soil Microbiology; Phylogeny; Desiccation; DNA Damage; DNA Repair; Bacteria; Humans; Dietary Fiber; Gastrointestinal Microbiome; Microbiota; Reproducibility of Results; RNA, Ribosomal, 16S; Ecosystem; Nitrogen Fixation; Cyanobacteria; Desert Climate; Soil; RNA, Ribosomal, 16S; Soil Microbiology; Microbiota; Nitrogen; Humans; Ecosystem; Plasmids; Bacteria; Anti-Bacterial Agents; Gene Transfer, Horizontal; Ecosystem; Biodiversity; Bacteria; Microbiota; Plant Leaves; Soil; Soil Microbiology"
"McHenry, Matthew",prof,research,"McHenry, Matthew[Author] AND Irvine[Affiliation] OR McHenry, M[Author] AND Irvine[Affiliation]","['39963080', '39665282', '39109661', '39104305', '38738313', '38631344', '38059428', '37339652', '36757892', '36637450', '35919997']","Animals; Starfish; Biomechanical Phenomena; Phototaxis; Light; Animals; Water Movements; Animal Communication; Lateral Line System; Biomechanical Phenomena; Social Behavior; Swimming; Animals; Biomechanical Phenomena; Starfish; Models, Biological; Locomotion; Animals; Biomechanical Phenomena; Oligochaeta; Models, Biological; Scyphozoa; Skeleton; Animals; Locomotion; Robotics; Biomechanical Phenomena; Starfish; Models, Biological; Gait; Animals; Genomics; Environment; Animals; Predatory Behavior; Perciformes; Animals; Zebrafish; Larva; Predatory Behavior; Escape Reaction; Biomechanical Phenomena; Biomechanical Phenomena; Technology; Biology; Animals; Fishes; Perciformes; Predatory Behavior; Swimming"
"McNaughton, Bruce",prof,research,"McNaughton, Bruce[Author] AND Irvine[Affiliation] OR McNaughton, B[Author] AND Irvine[Affiliation]","['39676610', '39631505', '39364682', '38947919', '38942472', '38298796', '38012135', '37989581', '37577676', '37126447', '37090599', '36756366', '36645126', '36057661', '35970912', '35814496', '35759669', '35709696', '35512636']","History, 20th Century; Neurons; Animals; Hippocampus; History, 21st Century; Humans; Memory; Neurosciences; Learning; Animals; Hippocampus; Nesting Behavior; Female; Male; Mice; Mice, Inbred C57BL; Animals; Psilocybin; Hallucinogens; Neurons; Mice; Male; Mice, Inbred C57BL; Ketanserin; Serotonin 5-HT2 Receptor Antagonists; Gyrus Cinguli; Space Perception; Animals; Neocortex; Male; Hippocampus; Mice; Female; Cues; Mice, Inbred C57BL; Space Perception; Spatial Navigation; Neurons; Mice, Transgenic; Male; Mice; Animals; Hippocampus; Neurons; Memory, Episodic; Place Cells; Cues; Software; Cognition; Electrophysiological Phenomena; Electrophysiology; Spatial Navigation; Mice; Animals; Sleep, REM; Electroencephalography; Sleep; Sleep, Slow-Wave; Auditory Cortex; Mice; Animals; Neocortex; Wakefulness; Hippocampus; Sleep; Neurons; Default Mode Network; Hippocampus; Humans; Neocortex; Humans; Learning; Models, Neurological; Neocortex; Neural Networks, Computer; Systems Theory; Action Potentials; Brain; Learning; Models, Neurological; Neurons; Action Potentials; Animals; Cognition; Hippocampus; Maze Learning; Neurons; Rats; Reward"
"McNulty, Reginald",asst prof,research,"McNulty, Reginald[Author] AND Irvine[Affiliation] OR McNulty, R[Author] AND Irvine[Affiliation]","['40374417', '39770326', '39104412', '39040024', '37308785', '37253813', '36511652']","NLR Family, Pyrin Domain-Containing 3 Protein; Humans; Inflammasomes; Inflammation; Animals; COVID-19 Drug Treatment; COVID-19; Anti-Inflammatory Agents; Bacteriophage P22; Endodeoxyribonucleases; Protein Binding; Virus Assembly; Protein Subunits; DNA, Viral; Microscopy, Electron, Transmission; Mass Spectrometry; Capsid; Proteins; Nucleic Acids; Humans; RNA; Protein Binding; DNA; Humans; Clostridium acetobutylicum; DNA Glycosylases; DNA, Mitochondrial; Inflammasomes; NLR Family, Pyrin Domain-Containing 3 Protein; Signal Transduction; Cryoelectron Microscopy; Signal-To-Noise Ratio; Imaging, Three-Dimensional; Drug Discovery"
"Metherate, Raju",prof,research,"Metherate, Raju[Author] AND Irvine[Affiliation] OR Metherate, R[Author] AND Irvine[Affiliation]",['39553292'],"Animals; Auditory Cortex; Receptors, Nicotinic; Mice; Mice, Transgenic; Male; Mice, Inbred C57BL; Nicotine; Female; Acoustic Stimulation; Mice, Knockout; Interneurons; Nicotinic Agonists"
"Mooney, Kailen",prof,research,"Mooney, Kailen[Author] AND Irvine[Affiliation] OR Mooney, K[Author] AND Irvine[Affiliation]","['40198102', '39838836', '39713890', '38698677', '38393366', '37600487', '36763634', '35918208', '35869688']","Ecosystem; Biodiversity; Conservation of Natural Resources; Humans; Climate Change; Animals; Predatory Behavior; Food Chain; Birds; Moths; Wasps; Larva; Ants; Host-Parasite Interactions; Herbivory; Water; Brassicaceae; Phenotype; Adaptation, Physiological; Selection, Genetic; Biological Evolution; Droughts; Animals; Animals; Arthropods; Predatory Behavior; Birds; Biodiversity; Trees; Climate; Food Chain; Larva; Animals; Trees; Herbivory; Insecta; Birds; Predatory Behavior; Ecosystem; Animals; Arthropods; Ecosystem; Songbirds; Ants; Biomass; Lepidoptera; Ecology; Phenotype; Plants; Herbivory; Plants; Plant Leaves; Plant Development; Artemisia"
"Morehouse, Benjamin",asst prof,research,"Morehouse, Benjamin[Author] AND Irvine[Affiliation] OR Morehouse, B[Author] AND Irvine[Affiliation]","['40196609', '38679204', '38514789', '37708847', '37011504']","Humans; Animals; Nucleotides, Cyclic; Signal Transduction; Immunity, Innate; Cyclic AMP; Cyclic GMP; Neoplasms; Nucleotidyltransferases; Membrane Proteins; Prokaryotic Cells; Antiviral Agents; Animals; Bacteria; Prokaryotic Cells; Archaea; Immunity, Innate; Bacteriophages"
"Morrissette, Naomi",prof,research,"Morrissette, Naomi[Author] AND Irvine[Affiliation] OR Morrissette, N[Author] AND Irvine[Affiliation]","['38757481', '38064432', '36985278', '35008492']","Toxoplasma; Humans; Drug Resistance; Microtubules; Fibroblasts; Tubulin; Microtubules; Cytoskeleton; Mutation; Ligands; Amino Acids; Animals; Antiparasitic Agents; Apicoplasts; Cells, Cultured; Clemastine; Histamine Antagonists; Humans; Microtubules; Parasites; Protozoan Proteins; Tubulin"
"Mortazavi, Ali",prof,research,"Mortazavi, Ali[Author] AND Irvine[Affiliation] OR Mortazavi, A[Author] AND Irvine[Affiliation] OR 0000-0002-4259-6362[Author - Identifier]","['39763870', '39147742', '39071335', '38962694', '38915583', '38849569', '38777608', '38510139', '38506634', '38464087', '38460121', '38426371', '38187766', '38105142', '37662399', '37546854', '37503119', '37474948', '37399090', '37344645']","Animals; Receptor, Anaphylatoxin C5a; Alzheimer Disease; Disease Models, Animal; Mice; Female; Male; Signal Transduction; Microglia; Hippocampus; Neuroglia; Astrocytes; Mice, Transgenic; Humans; Mice, Inbred C57BL; Humans; Animals; Mice; RNA-Seq; Gene Expression Profiling; Transcriptome; Sequence Analysis, RNA; Molecular Sequence Annotation; Muscular Dystrophy, Facioscapulohumeral; Humans; Myoblasts; Single-Cell Analysis; Muscle Fibers, Skeletal; Transcriptome; Homeodomain Proteins; Cell Differentiation; In Situ Hybridization, Fluorescence; Gene Expression Profiling; Animals; Mice; ATP-Binding Cassette Transporters; Plaque, Amyloid; Amyloid beta-Peptides; Alzheimer Disease; Mice, Transgenic; Neurons; Disease Models, Animal; Humans; Brain; Microglia; Phagocytosis; Amyloid beta-Protein Precursor; Animals; Mice; Alzheimer Disease; Amyloid beta-Peptides; Disease Models, Animal; Mice, Transgenic; Neuroglia; Plaque, Amyloid; Humans; Mice; Humans; Female; Animals; Alzheimer Disease; Plaque, Amyloid; Resilience, Psychological; Mice, Inbred C57BL; Microglia; Genetic Variation; Disease Models, Animal; Mice, Transgenic; Amyloid beta-Peptides; Humans; Nivolumab; Aged; Male; Female; Middle Aged; Carcinoma, Transitional Cell; Antineoplastic Combined Chemotherapy Protocols; Aged, 80 and over; Adult; Neoplasm Metastasis; Urologic Neoplasms; Urinary Bladder Neoplasms; RNA-Seq; Transcriptome; RNA Editing; Nucleotides; Sequence Analysis, RNA; High-Throughput Nucleotide Sequencing; Gene Expression Profiling; RNA-Seq; Gene Regulatory Networks; Animals; Mice; Hair; Hair Follicle; Hyaluronan Receptors; Melanocytes; Nevus; Osteopontin; Stem Cells; Signal Transduction"
"Nicholas, Dequina",asst prof,research,"Nicholas, Dequina[Author] AND Irvine[Affiliation] OR Nicholas, D[Author] AND Irvine[Affiliation]","['40436017', '40315855', '40251446', '39910286', '39868135', '39606781', '39546568', '39481749', '38915633', '38260148', '38224289', '38060459', '37214953', '37039663', '35644775', '35606213']","Zebrafish; Animals; Gastrointestinal Microbiome; Bacteriophages; Virion; Escherichia coli; Humans; Brain; RNA, Long Noncoding; Female; Humans; Ovarian Neoplasms; Neoplastic Stem Cells; Cell Plasticity; Cell Line, Tumor; Gene Expression Regulation, Neoplastic; Animals; Cell Membrane; Insulin; Mice; Glucose Transporter Type 1; Proto-Oncogene Proteins c-akt; Glycolysis; Cell Line; Cell Fractionation; Protein Transport; Signal Transduction; Glucose; Female; Animals; Mice; Lipopolysaccharides; Pituitary Gland; Gene Expression Profiling; Transcriptome; Gonadotropins, Pituitary; Pituitary Diseases; Inflammation; Humans; Animals; Mice; Proprotein Convertase 9; Signal Transduction; Homeostasis; Adiposity; CD8-Positive T-Lymphocytes; Cell Differentiation; Lymphocytic Choriomeningitis; Lymphocytic choriomeningitis virus; Persistent Infection; Animals; Mice; Cell Survival; Up-Regulation; Cell Proliferation; Humans; Laboratories; Research Personnel; COVID-19; Female; Humans; Laboratories; Pandemics"
"Nie, Qing",prof,research,"Nie, Qing[Author] AND Irvine[Affiliation] OR Nie, Q[Author] AND Irvine[Affiliation]","['40461502', '40307231', '40262896', '40258090', '39975141', '39849993', '39787221', '39627184', '39463971', '39384741', '39294560', '39289562', '39273049', '39187683', '39174710', '39122702', '39083073', '39019149', '39005302', '38861924']","Humans; Choroid Plexus; Epithelial Cells; Organoids; Pluripotent Stem Cells; Cell Differentiation; Cell Lineage; Transcriptome; Female; Amyotrophic Lateral Sclerosis; Animals; Motor Neurons; Methyltransferases; Humans; Induced Pluripotent Stem Cells; Mice; Adenosine; Alpha-Ketoglutarate-Dependent Dioxygenase FTO; Homeostasis; Disease Models, Animal; Mice, Knockout; Male; Methylation; Female; Cell Communication; Signal Transduction; Humans; Transcriptome; COVID-19; SARS-CoV-2; Gene Expression Profiling; Feedback, Physiological; Animals; Single-Cell Analysis; Humans; Mice; Transcriptome; Computational Biology; Gene Expression Profiling; Sequence Analysis, RNA; Machine Learning; Drosophila; Neural Networks, Computer; Animals; Adjuvants, Immunologic; Mice; Influenza Vaccines; Influenza A Virus, H5N1 Subtype; Squalene; Orthomyxoviridae Infections; Female; Antibodies, Viral; Homeostasis; Down-Regulation; Lymphocytes; Antibodies, Neutralizing; Mice, Inbred BALB C; Hemagglutinin Glycoproteins, Influenza Virus; Saponins; Oligodeoxyribonucleotides; Lipid A; Polysorbates; Animals; Humans; Mice; Adipocytes; Biomechanical Phenomena; Cartilage; Extracellular Matrix; Lipid Droplets; Lipid Metabolism; Lipogenesis; Obesity; Vacuoles; Cell Communication; Animals; Mice; Humans; COVID-19; Single-Cell Analysis; Transcriptome; Skin; Cluster Analysis; Computational Biology; SARS-CoV-2; Embryo, Mammalian; Gene Expression Profiling; RNA-Seq; Rosacea; Sequence Analysis, RNA; Single-Cell Gene Expression Analysis; Fibroblasts; Keratinocytes; Schwann Cells; T-Lymphocytes; Humans; Male; Female; Young Adult; Adult; Middle Aged; Animals; Mice; Skin; Single-Cell Analysis; Humans; Sequence Analysis, RNA; Transcriptome; Algorithms; Gene Expression Profiling; Gene Regulatory Networks; Animals; Humans; Cell Communication; Computational Biology; Gene Expression Profiling; Single-Cell Analysis; Software; Transcriptome; Induced Pluripotent Stem Cells; Humans; Cardiomyopathy, Dilated; Lamin Type A; Myocytes, Cardiac; Cell Differentiation; Haploinsufficiency; Female; Transcriptome; Pericardium; Cell Lineage; Single-Cell Analysis; Gene Expression Regulation; Mutation; Adult; Animals; Single-Cell Analysis; Mice; Transcriptome; COVID-19; Cell Communication; Humans; Gene Expression Profiling; Islets of Langerhans; Sequence Analysis, RNA; SARS-CoV-2; Embryonic Development; Humans; Genomics; Big Data; Animals; Connectome; Computational Biology; Animals; Hydrogels; Wound Healing; Fibroblasts; Macrophages; Mice; Female; Cell Communication; Biocompatible Materials; RANK Ligand; Mice, Inbred C57BL; Cross-Linking Reagents; Gelatin; Inflammation; Drug Repositioning; Humans; Proteins; Computational Biology; Algorithms; Alzheimer Disease; Wound Healing; Fibroblasts; Animals; Single-Cell Analysis; Mice; Skin; Signal Transduction; Cicatrix; Disease Models, Animal; Extracellular Matrix; Animals; CD8-Positive T-Lymphocytes; T-Lymphocytes, Regulatory; Humans; Mice; Programmed Cell Death 1 Receptor; Melanoma; Inducible T-Cell Co-Stimulator Protein; Immunotherapy; Immune Checkpoint Inhibitors; Interleukin-2; Mice, Inbred C57BL; Signal Transduction; Melanoma, Experimental; Cell Line, Tumor"
"Parsons, Michael",assoc prof,research,"Parsons, Michael[Author] AND Irvine[Affiliation] OR Parsons, M[Author] AND Irvine[Affiliation]","['38354325', '37633272', '37401381', '38725546', '35314806', '35027648']","Adult; Female; Humans; Male; Incidence; Indigenous Peoples; Stroke; Middle Aged; Developed Countries; Mice; Animals; Mice, Knockout; Zebrafish; Alleles; Integrases; Gene Knockout Techniques; Animals; Zebrafish; Hyperglycemia; Metronidazole; Diabetes Mellitus; Nitroreductases; Animals, Genetically Modified; Humans; Case-Control Studies; BRCA2 Protein; Genetic Predisposition to Disease; Female; BRCA1 Protein; Breast Neoplasms; Likelihood Functions; Genetic Variation; Penetrance; Genetic Testing; Bayes Theorem; Breast Neoplasms; Carcinoma, Ovarian Epithelial; Female; Genetic Predisposition to Disease; Humans; Ovarian Neoplasms; Polymorphism, Single Nucleotide; Prospective Studies; Risk Factors"
"Pizzagalli, Diego",prof,research,"Pizzagalli, Diego[Author] AND Irvine[Affiliation] OR Pizzagalli, D[Author] AND Irvine[Affiliation]",['39262818'],
"Plikus, Maksim",prof,research,"Plikus, Maksim[Author] AND Irvine[Affiliation] OR Plikus, M[Author] AND Irvine[Affiliation]","['40019454', '39915446', '39891645', '39841178', '39787221', '39582289', '39480941', '39306776', '39289562', '39122702', '39019149', '38996487', '38906093', '38851191', '38658750', '38451470', '38157451', '38036291', '37897482', '37747389']","Humans; Colorectal Neoplasms; Reactive Oxygen Species; Mitochondria; Phosphoprotein Phosphatases; Cytosol; Protein Serine-Threonine Kinases; Disease Progression; Phosphorylation; YAP-Signaling Proteins; Adaptor Proteins, Signal Transducing; Cell Line, Tumor; Animals; Serine-Threonine Kinase 3; Mice; Tumor Suppressor Proteins; Mitochondrial Proteins; Transcription Factors; HCT116 Cells; Animals; Mice; Skin; Circadian Rhythm; Circadian Clocks; Mice, Transgenic; Research Design; Humans; Humans; Hair; Biological Evolution; Animals; Scalp; Hair Follicle; Animals; Humans; Mice; Adipocytes; Biomechanical Phenomena; Cartilage; Extracellular Matrix; Lipid Droplets; Lipid Metabolism; Lipogenesis; Obesity; Vacuoles; Colorectal Neoplasms; Humans; Wnt Signaling Pathway; Disease Progression; Animals; YAP-Signaling Proteins; Mice; Casein Kinase 1 epsilon; Cell Line, Tumor; Transcription Factors; Gene Expression Regulation, Neoplastic; Adaptor Proteins, Signal Transducing; Signal Transduction; Cell Proliferation; Animals; Humans; Cell Communication; Computational Biology; Gene Expression Profiling; Single-Cell Analysis; Software; Transcriptome; Animals; Hydrogels; Wound Healing; Fibroblasts; Macrophages; Mice; Female; Cell Communication; Biocompatible Materials; RANK Ligand; Mice, Inbred C57BL; Cross-Linking Reagents; Gelatin; Inflammation; Wound Healing; Fibroblasts; Animals; Single-Cell Analysis; Mice; Skin; Signal Transduction; Cicatrix; Disease Models, Animal; Extracellular Matrix; Animals; Mammoths; Genome; Female; Skin; Elephants; Chromatin; Fossils; DNA, Ancient; Mice; Humans; X Chromosome; Animals; Humans; Body Patterning; Embryonic Development; Homeostasis; Organoids; Aging; Animals; TRPV Cation Channels; Fibroblasts; Macrophages; Mice; Calcitonin Gene-Related Peptide; Hair Follicle; Osteopontin; Mice, Inbred C57BL; Dermis; Hair; Nociceptors; Skin; Animals; Female; Male; Mice; Epigenomics; Evolution, Molecular; Gene Expression Profiling; Gene Expression Regulation, Developmental; Genome; Genomics; Homeodomain Proteins; Locomotion; Marsupialia; Phylogeny; Regulatory Sequences, Nucleic Acid; Transcription Factors; Phenotype; Humans; Animals; Humans; Mice; Disease Models, Animal; Epithelial Cells; Glycolysis; Mammals; Mechanistic Target of Rapamycin Complex 2; Mice, Knockout; Neoplasms; Phosphofructokinase-2; Proto-Oncogene Proteins c-akt; Sirolimus; Humans; Animals; Mice; Necroptosis; NAD; R-Loop Structures; Inflammatory Bowel Diseases; Epithelial Cells; Intestinal Mucosa; Inflammation; DNA-Binding Proteins; Mitochondria; Cicatrix; Myofibroblasts; Animals; Wound Healing; Collagen; Skin; Keratinocytes; Mice; Male; Humans; Disease Models, Animal; Female; Stem Cells; Skin; Skin Aging; Regeneration; Skin Physiological Phenomena"
"Ranz, Jose",assoc prof,research,"Ranz, Jose[Author] AND Irvine[Affiliation] OR Ranz, J[Author] AND Irvine[Affiliation]","['38488057', '38258319', '37864070', '37000122', '35377922', '35042416']","Animals; Female; Male; Butterflies; Chromosomes; Genome; Larva; Transcriptome; Animals; Drosophila; Genomics; Gene Expression Profiling; Heterozygote; INDEL Mutation; Animals; Male; Drosophila melanogaster; Drosophila Proteins; Spermatogenesis; Testis; RNA; Axonemal Dyneins; Animals; Male; Female; Drosophila; Semen; X Chromosome; Cell Differentiation; Transcriptome; Hybridization, Genetic; Animals; Genetic Fitness; Male; Spiroplasma; Tsetse Flies; Animals; Butterflies; Chromosomes; Diptera; Drosophila melanogaster; Evolution, Molecular; Lepidoptera; Phylogeny; Random Allocation"
"Razorenova, Olga",assoc prof,research,"Razorenova, Olga[Author] AND Irvine[Affiliation] OR Razorenova, O[Author] AND Irvine[Affiliation]","['39546568', '38948754', '35240916']","RNA, Long Noncoding; Female; Humans; Ovarian Neoplasms; Neoplastic Stem Cells; Cell Plasticity; Cell Line, Tumor; Gene Expression Regulation, Neoplastic; Animals; Carcinoma, Renal Cell; Cell Line, Tumor; Cyclic N-Oxides; Cyclin-Dependent Kinase Inhibitor Proteins; Cyclin-Dependent Kinases; Female; Humans; Indolizines; Kidney Neoplasms; Male; Mice; Protein Kinase Inhibitors; Pyridinium Compounds; Synthetic Lethal Mutations; Von Hippel-Lindau Tumor Suppressor Protein"
"Rebolleda-Gomez, Maria",asst prof,research,"Rebolleda-Gomez, Maria[Author] AND Irvine[Affiliation] OR Rebolleda-Gomez, M[Author] AND Irvine[Affiliation]","['37961608', '34978723']",
"Ribbe, Markus",prof,research,"Ribbe, Markus[Author] AND Irvine[Affiliation] OR Ribbe, M[Author] AND Irvine[Affiliation]","['40315313', '39713742', '39663240', '38865457', '38527309', '37909748', '37871225', '37419863', '38463155', '36542730', '36235278', '36213009', '35925843', '35849738', '35550498', '35218104']","Escherichia coli; Nitrogenase; Azotobacter vinelandii; Oxidoreductases; Bacterial Proteins; Nitrogen Fixation; Nitrogenase; Biocatalysis; Evolution, Molecular; Catalysis; Nitrogenase; Phylogeny; Nitrogen; Molybdoferredoxin; Models, Molecular; Bacterial Proteins; Nitrogen Fixation; Nitrogenase; Azotobacter vinelandii; Nitrogen; Adenosine Triphosphate; Azotobacter vinelandii; Escherichia coli; Nitrogenase; Gene Expression; Bacterial Proteins; Recombinant Proteins; Nitrogenase; Escherichia coli; Nitrogen Fixation; Oxidoreductases; Azotobacter vinelandii; Metalloproteins; Bacterial Proteins; Carbon Monoxide; Oxidation-Reduction; Nitrogenase; Hydrocarbons; Adenosine Triphosphate; Nitrogenase; Hydrocarbons; Biotechnology; Carbon Dioxide; Hydrocarbons; Nitrogenase; Oxidation-Reduction; Oxidoreductases; Hydrocarbons; Nitrogenase; Oxidation-Reduction; Aldehyde Oxidoreductases; Carbon Dioxide; Formate Dehydrogenases; Hydrogenase; Multienzyme Complexes; Nitrogenase; Oxidation-Reduction; Metalloproteins; Methyltransferases; Molybdoferredoxin; Nitrogenase; S-Adenosylmethionine; Azotobacter vinelandii; Iron-Sulfur Proteins; Nitrogenase; Oxidation-Reduction; Oxidoreductases"
"Rodriguez Verdugo, Alejandra",asst prof,research,"Rodriguez Verdugo, Alejandra[Author] AND Irvine[Affiliation] OR Rodriguez Verdugo, A[Author] AND Irvine[Affiliation]","['40099871', '39404341', '39235107', '39020097', '38464198', '37140066', '36965002']","Pseudomonas putida; Biofilms; Microbiota; Coculture Techniques; Mutation; Acinetobacter; Genotype; Flagella; Epistasis, Genetic; Escherichia coli; Escherichia coli Proteins; DNA-Directed RNA Polymerases; Genetic Fitness; Mutation; Hot Temperature; Rho Factor; Adaptation, Physiological; Plant Leaves; Bacteria; Ecosystem; Species Specificity; Xylans; Xylose; Models, Theoretical; Actinobacteria; Bacteroidetes; Proteobacteria; Microbial Interactions; Poaceae; Escherichia coli; Evolution, Molecular; Adaptation, Physiological; Phenotype; Genotype; Mutation; Genetic Background; Epistasis, Genetic"
"Schechtman-Drayman, Eitan",asst prof,research,"Schechtman-Drayman, Eitan[Author] AND Irvine[Affiliation] OR Schechtman-Drayman, E[Author] AND Irvine[Affiliation] OR 0000-0002-8127-012X[Author - Identifier]","['40435118', '38466857', '36973868', '36720637', '36112506', '35856715', '35311814', '35031277']","Humans; Data Collection; Sexual and Gender Minorities; Research Personnel; Male; Research Design; Female; Animals; Computational Biology; Humans; Sleep; Learning; Cues; Memory Consolidation; Humans; Memory Consolidation; Memory, Episodic; Sleep; Spatial Memory; Humans; Sleep; Wakefulness; Cognition; Cognitive Dysfunction; DNA; Diffusion; Molecular Dynamics Simulation; Transcription Factors; Bacteriophage T7; Bacteriophages; DNA-Directed RNA Polymerases; Promoter Regions, Genetic; RNA, Viral; Transcription, Genetic"
"Schilling, Thomas",prof,research,"Schilling, Thomas[Author] AND Irvine[Affiliation] OR Schilling, T[Author] AND Irvine[Affiliation]","['40364987', '40145570', '39868081', '39787221', '39575928', '39330988', '38975838', '37497608', '37039156', '36561564', '36377462', '36001035', '35171678']","Animals; Zebrafish; Tendons; Gene Expression Profiling; Muscle Contraction; Mechanotransduction, Cellular; Fibroblasts; Gene Expression Regulation, Developmental; Embryo, Nonmammalian; Tenocytes; Zebrafish Proteins; Transcriptome; Animals; Humans; Mice; Adipocytes; Biomechanical Phenomena; Cartilage; Extracellular Matrix; Lipid Droplets; Lipid Metabolism; Lipogenesis; Obesity; Vacuoles; Animals; Zebrafish; Sex Determination Processes; Germ Cells; Cell Proliferation; Male; Female; Zebrafish Proteins; Receptors, Retinoic Acid; Tretinoin; Gonads; Animals, Genetically Modified; Gene Expression Regulation, Developmental; Mutation; Animals; Zebrafish; Aquaporins; Lens, Crystalline; Eye Proteins; Water; Permeability; Zebrafish Proteins; Calcium; Gene Expression Regulation, Developmental; Animals, Genetically Modified; Zebrafish; Animals; Cohesins; Cell Cycle Proteins; Chromosomal Proteins, Non-Histone; Zebrafish Proteins; Mutation; Gene Expression Regulation, Developmental; Wnt Signaling Pathway; Embryonic Development; Gene Dosage; Mesoderm; Animals; Zebrafish; Tendons; Bone and Bones; Signal Transduction; Ligaments; Animals; Bone and Bones; Cartilage; Cell Polarity; Chondrocytes; Morphogenesis; Receptor Tyrosine Kinase-like Orphan Receptors; Receptors, Wnt; Wnt Proteins; Wnt Signaling Pathway; Zebrafish; Zebrafish Proteins; Humans; Mice; Animals; Chondrocytes; Zebrafish; Cartilage; Growth Plate; Skull; Mammals; Animals; Vertebrates; Jaw; Regulatory Sequences, Nucleic Acid; Biological Evolution; Animals; Cichlids; Lakes; Malawi; Species Specificity; Mammals; Animals; Aquaporins; Eye Proteins; Lens, Crystalline; Water; Zebrafish"
