Faculty_Full_Name,Rank,Professor Type,Faculty,Faculty_Author,Faculty_Author_Affiliation,pmids,pub_mesh_terms
"Mooney, Kailen",prof,research,"Mooney, Kailen","Mooney, Kailen[Author]","Mooney, Kailen[Author] AND Irvine[Affiliation]","['40198102', '39838836', '39713890', '38698677', '38393366', '37600487', '36763634', '35918208', '35869688']","Ecosystem; Biodiversity; Conservation of Natural Resources; Humans; Climate Change; Animals; Predatory Behavior; Food Chain; Birds; Moths; Wasps; Larva; Ants; Host-Parasite Interactions; Herbivory; Water; Brassicaceae; Phenotype; Adaptation, Physiological; Selection, Genetic; Biological Evolution; Droughts; Animals; Animals; Arthropods; Predatory Behavior; Birds; Biodiversity; Trees; Climate; Food Chain; Larva; Animals; Trees; Herbivory; Insecta; Birds; Predatory Behavior; Ecosystem; Animals; Arthropods; Ecosystem; Songbirds; Ants; Biomass; Lepidoptera; Ecology; Phenotype; Plants; Herbivory; Plants; Plant Leaves; Plant Development; Artemisia"
"Morehouse, Benjamin",asst prof,research,"Morehouse, Benjamin","Morehouse, Benjamin[Author]","Morehouse, Benjamin[Author] AND Irvine[Affiliation]","['40196609', '38679204', '38514789', '37708847', '37011504']","Humans; Animals; Nucleotides, Cyclic; Signal Transduction; Immunity, Innate; Cyclic AMP; Cyclic GMP; Neoplasms; Nucleotidyltransferases; Membrane Proteins; Prokaryotic Cells; Antiviral Agents; Animals; Bacteria; Prokaryotic Cells; Archaea; Immunity, Innate; Bacteriophages"
"Morrissette, Naomi",prof,research,"Morrissette, Naomi","Morrissette, Naomi[Author]","Morrissette, Naomi[Author] AND Irvine[Affiliation]","['38757481', '38064432', '36985278', '35008492']","Toxoplasma; Humans; Drug Resistance; Microtubules; Fibroblasts; Tubulin; Microtubules; Cytoskeleton; Mutation; Ligands; Amino Acids; Animals; Antiparasitic Agents; Apicoplasts; Cells, Cultured; Clemastine; Histamine Antagonists; Humans; Microtubules; Parasites; Protozoan Proteins; Tubulin"
"Mortazavi, Ali",prof,research,"Mortazavi, Ali","Mortazavi, Ali[Author]","Mortazavi, Ali[Author] AND Irvine[Affiliation] OR 0000-0002-4259-6362[Author - Identifier]","['39763870', '39147742', '39071335', '38962694', '38915583', '38849569', '38777608', '38510139', '38506634', '38464087', '38460121', '38426371', '38187766', '37662399', '37546854', '37503119', '37474948', '37399090', '37344645', '37292896']","Animals; Receptor, Anaphylatoxin C5a; Alzheimer Disease; Disease Models, Animal; Mice; Female; Male; Signal Transduction; Microglia; Hippocampus; Neuroglia; Astrocytes; Mice, Transgenic; Humans; Mice, Inbred C57BL; Humans; Animals; Mice; RNA-Seq; Gene Expression Profiling; Transcriptome; Sequence Analysis, RNA; Molecular Sequence Annotation; Muscular Dystrophy, Facioscapulohumeral; Humans; Myoblasts; Single-Cell Analysis; Muscle Fibers, Skeletal; Transcriptome; Homeodomain Proteins; Cell Differentiation; In Situ Hybridization, Fluorescence; Gene Expression Profiling; Animals; Mice; ATP-Binding Cassette Transporters; Plaque, Amyloid; Amyloid beta-Peptides; Alzheimer Disease; Mice, Transgenic; Neurons; Disease Models, Animal; Humans; Brain; Microglia; Phagocytosis; Amyloid beta-Protein Precursor; Animals; Mice; Alzheimer Disease; Amyloid beta-Peptides; Disease Models, Animal; Mice, Transgenic; Neuroglia; Plaque, Amyloid; Humans; Mice; Humans; Female; Animals; Alzheimer Disease; Plaque, Amyloid; Resilience, Psychological; Mice, Inbred C57BL; Microglia; Genetic Variation; Disease Models, Animal; Mice, Transgenic; Amyloid beta-Peptides; RNA-Seq; Transcriptome; RNA Editing; Nucleotides; Sequence Analysis, RNA; High-Throughput Nucleotide Sequencing; Gene Expression Profiling; RNA-Seq; Gene Regulatory Networks; Animals; Mice; Hair; Hair Follicle; Hyaluronan Receptors; Melanocytes; Nevus; Osteopontin; Stem Cells; Signal Transduction"
"Nicholas, Dequina",asst prof,research,"Nicholas, Dequina","Nicholas, Dequina[Author]","Nicholas, Dequina[Author] AND Irvine[Affiliation]","['40315855', '40251446', '39910286', '39868135', '39606781', '39546568', '39481749', '38915633', '38260148', '38224289', '38060459', '37214953', '37039663', '35644775', '35606213']","RNA, Long Noncoding; Female; Humans; Ovarian Neoplasms; Neoplastic Stem Cells; Cell Plasticity; Cell Line, Tumor; Gene Expression Regulation, Neoplastic; Animals; Cell Membrane; Insulin; Mice; Glucose Transporter Type 1; Proto-Oncogene Proteins c-akt; Glycolysis; Cell Line; Cell Fractionation; Protein Transport; Signal Transduction; Glucose; Female; Animals; Mice; Lipopolysaccharides; Pituitary Gland; Gene Expression Profiling; Transcriptome; Gonadotropins, Pituitary; Pituitary Diseases; Inflammation; Humans; Animals; Mice; Proprotein Convertase 9; Signal Transduction; Homeostasis; Adiposity; CD8-Positive T-Lymphocytes; Cell Differentiation; Lymphocytic Choriomeningitis; Lymphocytic choriomeningitis virus; Persistent Infection; Animals; Mice; Cell Survival; Up-Regulation; Cell Proliferation; Humans; Laboratories; Research Personnel; COVID-19; Female; Humans; Laboratories; Pandemics"
"Nie, Qing",prof,research,"Nie, Qing","Nie, Qing[Author]","Nie, Qing[Author] AND Irvine[Affiliation]","['40307231', '40262896', '40258090', '39975141', '39849993', '39787221', '39627184', '39463971', '39384741', '39294560', '39289562', '39273049', '39187683', '39174710', '39122702', '39083073', '39019149', '39005302', '38861924', '38812530']","Amyotrophic Lateral Sclerosis; Animals; Motor Neurons; Methyltransferases; Humans; Induced Pluripotent Stem Cells; Mice; Adenosine; Alpha-Ketoglutarate-Dependent Dioxygenase FTO; Homeostasis; Disease Models, Animal; Mice, Knockout; Male; Methylation; Female; Animals; Adjuvants, Immunologic; Mice; Influenza Vaccines; Influenza A Virus, H5N1 Subtype; Squalene; Orthomyxoviridae Infections; Female; Antibodies, Viral; Homeostasis; Down-Regulation; Lymphocytes; Antibodies, Neutralizing; Mice, Inbred BALB C; Hemagglutinin Glycoproteins, Influenza Virus; Saponins; Oligodeoxyribonucleotides; Lipid A; Polysorbates; Animals; Humans; Mice; Adipocytes; Biomechanical Phenomena; Cartilage; Extracellular Matrix; Lipid Droplets; Lipid Metabolism; Lipogenesis; Obesity; Vacuoles; Cell Communication; Animals; Mice; Humans; COVID-19; Single-Cell Analysis; Transcriptome; Skin; Cluster Analysis; Computational Biology; SARS-CoV-2; Embryo, Mammalian; Gene Expression Profiling; RNA-Seq; Rosacea; Sequence Analysis, RNA; Single-Cell Gene Expression Analysis; Fibroblasts; Keratinocytes; Schwann Cells; T-Lymphocytes; Humans; Male; Female; Young Adult; Adult; Middle Aged; Animals; Mice; Skin; Single-Cell Analysis; Humans; Sequence Analysis, RNA; Transcriptome; Algorithms; Gene Expression Profiling; Gene Regulatory Networks; Animals; Humans; Cell Communication; Computational Biology; Gene Expression Profiling; Single-Cell Analysis; Software; Transcriptome; Induced Pluripotent Stem Cells; Humans; Cardiomyopathy, Dilated; Lamin Type A; Myocytes, Cardiac; Cell Differentiation; Haploinsufficiency; Female; Transcriptome; Pericardium; Cell Lineage; Single-Cell Analysis; Gene Expression Regulation; Mutation; Adult; Animals; Single-Cell Analysis; Mice; Transcriptome; COVID-19; Cell Communication; Humans; Gene Expression Profiling; Islets of Langerhans; Sequence Analysis, RNA; SARS-CoV-2; Embryonic Development; Humans; Genomics; Big Data; Animals; Connectome; Computational Biology; Animals; Hydrogels; Wound Healing; Fibroblasts; Macrophages; Mice; Female; Cell Communication; Biocompatible Materials; RANK Ligand; Mice, Inbred C57BL; Cross-Linking Reagents; Gelatin; Inflammation; Drug Repositioning; Humans; Proteins; Computational Biology; Algorithms; Alzheimer Disease; Wound Healing; Fibroblasts; Animals; Single-Cell Analysis; Mice; Skin; Signal Transduction; Cicatrix; Disease Models, Animal; Extracellular Matrix; Animals; CD8-Positive T-Lymphocytes; T-Lymphocytes, Regulatory; Humans; Mice; Programmed Cell Death 1 Receptor; Melanoma; Inducible T-Cell Co-Stimulator Protein; Immunotherapy; Immune Checkpoint Inhibitors; Interleukin-2; Mice, Inbred C57BL; Signal Transduction; Melanoma, Experimental; Cell Line, Tumor"
"Parsons, Michael",assoc prof,research,"Parsons, Michael","Parsons, Michael[Author]","Parsons, Michael[Author] AND Irvine[Affiliation]","['37633272', '37401381', '38725546', '35314806', '35027648']","Mice; Animals; Mice, Knockout; Zebrafish; Alleles; Integrases; Gene Knockout Techniques; Animals; Zebrafish; Hyperglycemia; Metronidazole; Diabetes Mellitus; Nitroreductases; Animals, Genetically Modified; Humans; Case-Control Studies; BRCA2 Protein; Genetic Predisposition to Disease; Female; BRCA1 Protein; Breast Neoplasms; Likelihood Functions; Genetic Variation; Penetrance; Genetic Testing; Bayes Theorem; Breast Neoplasms; Carcinoma, Ovarian Epithelial; Female; Genetic Predisposition to Disease; Humans; Ovarian Neoplasms; Polymorphism, Single Nucleotide; Prospective Studies; Risk Factors"
"Pizzagalli, Diego",prof,research,"Pizzagalli, Diego","Pizzagalli, Diego[Author]","Pizzagalli, Diego[Author] AND Irvine[Affiliation]",['39262818'],
"Plikus, Maksim",prof,research,"Plikus, Maksim","Plikus, Maksim[Author]","Plikus, Maksim[Author] AND Irvine[Affiliation]","['40019454', '39915446', '39891645', '39841178', '39787221', '39582289', '39480941', '39306776', '39289562', '39122702', '39019149', '38996487', '38906093', '38851191', '38658750', '38451470', '38157451', '38036291', '37897482', '37747389']","Humans; Colorectal Neoplasms; Reactive Oxygen Species; Mitochondria; Phosphoprotein Phosphatases; Cytosol; Protein Serine-Threonine Kinases; Disease Progression; Phosphorylation; YAP-Signaling Proteins; Adaptor Proteins, Signal Transducing; Cell Line, Tumor; Animals; Serine-Threonine Kinase 3; Mice; Tumor Suppressor Proteins; Mitochondrial Proteins; Transcription Factors; HCT116 Cells; Animals; Mice; Skin; Circadian Rhythm; Circadian Clocks; Mice, Transgenic; Research Design; Humans; Humans; Hair; Biological Evolution; Animals; Scalp; Hair Follicle; Animals; Humans; Mice; Adipocytes; Biomechanical Phenomena; Cartilage; Extracellular Matrix; Lipid Droplets; Lipid Metabolism; Lipogenesis; Obesity; Vacuoles; Colorectal Neoplasms; Humans; Wnt Signaling Pathway; Disease Progression; Animals; YAP-Signaling Proteins; Mice; Casein Kinase 1 epsilon; Cell Line, Tumor; Transcription Factors; Gene Expression Regulation, Neoplastic; Adaptor Proteins, Signal Transducing; Signal Transduction; Cell Proliferation; Animals; Humans; Cell Communication; Computational Biology; Gene Expression Profiling; Single-Cell Analysis; Software; Transcriptome; Animals; Hydrogels; Wound Healing; Fibroblasts; Macrophages; Mice; Female; Cell Communication; Biocompatible Materials; RANK Ligand; Mice, Inbred C57BL; Cross-Linking Reagents; Gelatin; Inflammation; Wound Healing; Fibroblasts; Animals; Single-Cell Analysis; Mice; Skin; Signal Transduction; Cicatrix; Disease Models, Animal; Extracellular Matrix; Animals; Mammoths; Genome; Female; Skin; Elephants; Chromatin; Fossils; DNA, Ancient; Mice; Humans; X Chromosome; Animals; Humans; Body Patterning; Embryonic Development; Homeostasis; Organoids; Aging; Animals; TRPV Cation Channels; Fibroblasts; Macrophages; Mice; Calcitonin Gene-Related Peptide; Hair Follicle; Osteopontin; Mice, Inbred C57BL; Dermis; Hair; Nociceptors; Skin; Animals; Female; Male; Mice; Epigenomics; Evolution, Molecular; Gene Expression Profiling; Gene Expression Regulation, Developmental; Genome; Genomics; Homeodomain Proteins; Locomotion; Marsupialia; Phylogeny; Regulatory Sequences, Nucleic Acid; Transcription Factors; Phenotype; Humans; Animals; Humans; Mice; Disease Models, Animal; Epithelial Cells; Glycolysis; Mammals; Mechanistic Target of Rapamycin Complex 2; Mice, Knockout; Neoplasms; Phosphofructokinase-2; Proto-Oncogene Proteins c-akt; Sirolimus; Humans; Animals; Mice; Necroptosis; NAD; R-Loop Structures; Inflammatory Bowel Diseases; Epithelial Cells; Intestinal Mucosa; Inflammation; DNA-Binding Proteins; Mitochondria; Cicatrix; Myofibroblasts; Animals; Wound Healing; Collagen; Skin; Keratinocytes; Mice; Male; Humans; Disease Models, Animal; Female; Stem Cells; Skin; Skin Aging; Regeneration; Skin Physiological Phenomena"
"Ranz, Jose",assoc prof,research,"Ranz, Jose","Ranz, Jose[Author]","Ranz, Jose[Author] AND Irvine[Affiliation]","['38488057', '38258319', '37864070', '37000122', '35377922', '35042416']","Animals; Female; Male; Butterflies; Chromosomes; Genome; Larva; Transcriptome; Animals; Drosophila; Genomics; Gene Expression Profiling; Heterozygote; INDEL Mutation; Animals; Male; Drosophila melanogaster; Drosophila Proteins; Spermatogenesis; Testis; RNA; Axonemal Dyneins; Animals; Male; Female; Drosophila; Semen; X Chromosome; Cell Differentiation; Transcriptome; Hybridization, Genetic; Animals; Genetic Fitness; Male; Spiroplasma; Tsetse Flies; Animals; Butterflies; Chromosomes; Diptera; Drosophila melanogaster; Evolution, Molecular; Lepidoptera; Phylogeny; Random Allocation"
"Razorenova, Olga",assoc prof,research,"Razorenova, Olga","Razorenova, Olga[Author]","Razorenova, Olga[Author] AND Irvine[Affiliation]","['39546568', '38948754', '35240916']","RNA, Long Noncoding; Female; Humans; Ovarian Neoplasms; Neoplastic Stem Cells; Cell Plasticity; Cell Line, Tumor; Gene Expression Regulation, Neoplastic; Animals; Carcinoma, Renal Cell; Cell Line, Tumor; Cyclic N-Oxides; Cyclin-Dependent Kinase Inhibitor Proteins; Cyclin-Dependent Kinases; Female; Humans; Indolizines; Kidney Neoplasms; Male; Mice; Protein Kinase Inhibitors; Pyridinium Compounds; Synthetic Lethal Mutations; Von Hippel-Lindau Tumor Suppressor Protein"
"Rebolleda-Gomez, Maria",asst prof,research,"Rebolleda-Gomez, Maria","Rebolleda-Gomez, Maria[Author]","Rebolleda-Gomez, Maria[Author] AND Irvine[Affiliation]","['37961608', '34978723']",
"Ribbe, Markus",prof,research,"Ribbe, Markus","Ribbe, Markus[Author]","Ribbe, Markus[Author] AND Irvine[Affiliation]","['40315313', '39713742', '39663240', '38865457', '38527309', '37909748', '37871225', '37419863', '38463155', '36542730', '36235278', '36213009', '35925843', '35849738', '35550498', '35218104']","Escherichia coli; Nitrogenase; Azotobacter vinelandii; Oxidoreductases; Bacterial Proteins; Nitrogen Fixation; Nitrogenase; Biocatalysis; Evolution, Molecular; Catalysis; Nitrogenase; Phylogeny; Nitrogen; Molybdoferredoxin; Models, Molecular; Bacterial Proteins; Nitrogen Fixation; Nitrogenase; Azotobacter vinelandii; Nitrogen; Adenosine Triphosphate; Azotobacter vinelandii; Escherichia coli; Nitrogenase; Gene Expression; Bacterial Proteins; Recombinant Proteins; Nitrogenase; Escherichia coli; Nitrogen Fixation; Oxidoreductases; Azotobacter vinelandii; Metalloproteins; Bacterial Proteins; Carbon Monoxide; Oxidation-Reduction; Nitrogenase; Hydrocarbons; Adenosine Triphosphate; Nitrogenase; Hydrocarbons; Biotechnology; Carbon Dioxide; Hydrocarbons; Nitrogenase; Oxidation-Reduction; Oxidoreductases; Hydrocarbons; Nitrogenase; Oxidation-Reduction; Aldehyde Oxidoreductases; Carbon Dioxide; Formate Dehydrogenases; Hydrogenase; Multienzyme Complexes; Nitrogenase; Oxidation-Reduction; Metalloproteins; Methyltransferases; Molybdoferredoxin; Nitrogenase; S-Adenosylmethionine; Azotobacter vinelandii; Iron-Sulfur Proteins; Nitrogenase; Oxidation-Reduction; Oxidoreductases"
"Rodriguez Verdugo, Alejandra",asst prof,research,"Rodriguez Verdugo, Alejandra","Rodriguez Verdugo, Alejandra[Author]","Rodriguez Verdugo, Alejandra[Author] AND Irvine[Affiliation]","['40099871', '39404341', '39235107', '39020097', '38464198', '37140066', '36965002']","Pseudomonas putida; Biofilms; Microbiota; Coculture Techniques; Mutation; Acinetobacter; Genotype; Flagella; Epistasis, Genetic; Escherichia coli; Escherichia coli Proteins; DNA-Directed RNA Polymerases; Genetic Fitness; Mutation; Hot Temperature; Rho Factor; Adaptation, Physiological; Plant Leaves; Bacteria; Ecosystem; Species Specificity; Xylans; Xylose; Models, Theoretical; Actinobacteria; Bacteroidetes; Proteobacteria; Microbial Interactions; Poaceae; Escherichia coli; Evolution, Molecular; Adaptation, Physiological; Phenotype; Genotype; Mutation; Genetic Background; Epistasis, Genetic"
"Schechtman-Drayman, Eitan",asst prof,research,"Schechtman-Drayman, Eitan","Schechtman-Drayman, Eitan[Author]","Schechtman-Drayman, Eitan[Author] AND Irvine[Affiliation] OR 0000-0002-8127-012X[Author - Identifier]","['38466857', '36973868', '36720637', '36112506']","Humans; Sleep; Learning; Cues; Memory Consolidation; Humans; Memory Consolidation; Memory, Episodic; Sleep; Spatial Memory; Humans; Sleep; Wakefulness; Cognition; Cognitive Dysfunction"
"Schilling, Thomas",prof,research,"Schilling, Thomas","Schilling, Thomas[Author]","Schilling, Thomas[Author] AND Irvine[Affiliation]","['40145570', '39868081', '39787221', '39575928', '39330988', '38975838', '37497608', '37039156', '36561564', '36377462', '36001035', '35171678']","Animals; Zebrafish; Tendons; Gene Expression Profiling; Muscle Contraction; Mechanotransduction, Cellular; Fibroblasts; Gene Expression Regulation, Developmental; Embryo, Nonmammalian; Tenocytes; Zebrafish Proteins; Transcriptome; Animals; Humans; Mice; Adipocytes; Biomechanical Phenomena; Cartilage; Extracellular Matrix; Lipid Droplets; Lipid Metabolism; Lipogenesis; Obesity; Vacuoles; Animals; Zebrafish; Sex Determination Processes; Germ Cells; Cell Proliferation; Male; Female; Zebrafish Proteins; Receptors, Retinoic Acid; Tretinoin; Gonads; Animals, Genetically Modified; Gene Expression Regulation, Developmental; Mutation; Animals; Zebrafish; Aquaporins; Lens, Crystalline; Eye Proteins; Water; Permeability; Zebrafish Proteins; Calcium; Gene Expression Regulation, Developmental; Animals, Genetically Modified; Zebrafish; Animals; Cohesins; Cell Cycle Proteins; Chromosomal Proteins, Non-Histone; Zebrafish Proteins; Mutation; Gene Expression Regulation, Developmental; Wnt Signaling Pathway; Embryonic Development; Gene Dosage; Mesoderm; Animals; Zebrafish; Tendons; Bone and Bones; Signal Transduction; Ligaments; Animals; Bone and Bones; Cartilage; Cell Polarity; Chondrocytes; Morphogenesis; Receptor Tyrosine Kinase-like Orphan Receptors; Receptors, Wnt; Wnt Proteins; Wnt Signaling Pathway; Zebrafish; Zebrafish Proteins; Humans; Mice; Animals; Chondrocytes; Zebrafish; Cartilage; Growth Plate; Skull; Mammals; Animals; Vertebrates; Jaw; Regulatory Sequences, Nucleic Acid; Biological Evolution; Animals; Cichlids; Lakes; Malawi; Species Specificity; Mammals; Animals; Aquaporins; Eye Proteins; Lens, Crystalline; Water; Zebrafish"
"Shi, Xiaoyu",asst prof,research,"Shi, Xiaoyu","Shi, Xiaoyu[Author]","Shi, Xiaoyu[Author] AND Irvine[Affiliation]","['39814881', '39798570', '39105364', '38948754', '38265180', '38045269', '38014020', '37856018', '37253290', '36314803']","Animals; Mice; Endocytosis; Long-Term Potentiation; Receptors, AMPA; Synapses; Male; Acyltransferases; Memory Disorders; Peptides; Memory; Pinocytosis; Protein Kinase C; Hippocampus; Brain Injuries; Mice, Inbred C57BL; Humans; Humans; RNA Precursors; HeLa Cells; RNA Splicing; Cell Nucleus; RNA Polymerase II; RNA 3' End Processing; RNA, Messenger; HEK293 Cells; Protein Binding; Intrinsically Disordered Proteins; RNA Processing, Post-Transcriptional; Gene Expression Regulation; RNA-Binding Proteins; Humans; Proteomics; Staining and Labeling; Protein Interaction Mapping; Microscopy; Proteins; Humans; Microscopy; Antibodies; Coloring Agents; Health Personnel; Hydrogels; Microscopy, Fluorescence; Proteins; Hydrogels; Microscopy, Fluorescence; Single Molecule Imaging; Microscopy, Fluorescence; Staining and Labeling; Hydrogels"
"Sorte, Cascade",prof,research,"Sorte, Cascade","Sorte, Cascade[Author]","Sorte, Cascade[Author] AND Irvine[Affiliation]","['38600085', '37546568', '37260224', '36806368', '35972940', '35622892', '35257208', '35039551']",Biodiversity; Conservation of Natural Resources; Ecosystem; Europe; Introduced Species; Nitrogen; Animals; Ecosystem; Carbon Dioxide; Alaska; Oxygen; Hydrogen-Ion Concentration; Humans; Ecosystem; Biodiversity; Introduced Species; Plants; Geography; Biodiversity; Ecosystem; Human Activities; Humans; Introduced Species; Anthropogenic Effects; Climate Change; Ecosystem; Humans; Introduced Species; Temperature; Animals; Climate Change; Ecosystem; Gastropoda; Predatory Behavior; Species Specificity
"Stark, Craig",prof,research,"Stark, Craig","Stark, Craig[Author]","Stark, Craig[Author] AND Irvine[Affiliation]","['40233872', '40093240', '39974878', '39763904', '39547056', '39450914', '39450487', '39268219', '39239893', '39239892', '39055313', '39055052', '38826456', '38561226', '38559159', '38527084', '38481469', '37908438', '37526119', '37423487']","Animals; Dogs; Alzheimer Disease; NFATC Transcription Factors; Disease Models, Animal; Cognition; Calcineurin Inhibitors; Tacrolimus; Calcineurin; Aging; Male; Female; Spatial Learning; Memory; Cognitive Dysfunction; Hippocampus; Humans; Magnetic Resonance Imaging; Quality Control; Image Processing, Computer-Assisted; Reproducibility of Results; Neuroimaging; Humans; Aged; Female; Male; Magnetic Resonance Imaging; Aging; Temporal Lobe; Hippocampus; Aged, 80 and over; Middle Aged; Cognitive Dysfunction; Image Processing, Computer-Assisted; Atlases as Topic; Atrophy; Entorhinal Cortex; Mental Status and Dementia Tests; Adult; Aged; Humans; Male; Middle Aged; Young Adult; Alzheimer Disease; Amyloid beta-Peptides; Benchmarking; Biomarkers; Cognition; Memory; Models, Biological; tau Proteins; Female; Humans; Alzheimer Disease; Cognitive Dysfunction; Female; Male; tau Proteins; Aged; Positron-Emission Tomography; Biomarkers; Amyloid beta-Peptides; Disease Progression; Neuropsychological Tests; Aged, 80 and over; Animals; Dogs; Female; Atrophy; Male; Aging; Brain; Tacrolimus; Behavior, Animal; Magnetic Resonance Imaging; Humans; Magnetic Resonance Imaging; Male; Female; Young Adult; Adult; Brain Mapping; Learning; Reading; Verbal Learning; Oxygen; Hippocampus; Cerebral Cortex; Pattern Recognition, Visual; Humans; Rats; Animals; Aged; Hippocampus; Aging; Magnetic Resonance Imaging; Memory; Gray Matter; Magnetic Resonance Spectroscopy; Brain; Software; Algorithms; Reference Standards; Protons"
"Striedter, Georg",prof,research,"Striedter, Georg","Striedter, Georg[Author]","Striedter, Georg[Author] AND Irvine[Affiliation]",[],
"Suetterlin, Christine",prof,research,"Suetterlin, Christine","Suetterlin, Christine[Author]","Suetterlin, Christine[Author] AND Irvine[Affiliation] OR 0000-0003-1354-507X[Author - Identifier]","['39670716', '38885287', '35726915', '35703434']","Chlamydia trachomatis; Humans; Bacterial Proteins; Gene Knockdown Techniques; HeLa Cells; Membrane Proteins; Sorting Nexins; Gene Expression Regulation, Bacterial; Chlamydia trachomatis; Cilia; Chlamydia Infections; Humans; Epithelial Cells; Chlamydia trachomatis; Escherichia coli; Gene Expression Regulation, Bacterial; RNA, Messenger; RNA, Small Untranslated; Reverse Genetics; AMP-Activated Protein Kinases; Bacterial Proteins; Chlamydia; Chlamydia Infections; Chlamydia trachomatis; Humans; Lipids; Proto-Oncogene Proteins c-akt"
"Sumikawa, Katumi",prof,research,"Sumikawa, Katumi","Sumikawa, Katumi[Author]","Sumikawa, Katumi[Author] AND Irvine[Affiliation]","['39522675', '36029955']","Animals; Prefrontal Cortex; Receptor, Muscarinic M1; Nicotine; Male; Hippocampus; Female; Pyramidal Cells; Allosteric Regulation; N-Methylaspartate; Rats, Sprague-Dawley; Nicotinic Agonists; Rats; Interneurons; Long-Term Potentiation; Receptors, N-Methyl-D-Aspartate; CA1 Region, Hippocampal; Quinolines; Animals; Female; Hippocampus; Long-Term Potentiation; Mice; Mice, Inbred C57BL; Mice, Knockout; Nicotine; Nicotinic Agonists; Pregnancy; Receptors, Nicotinic"
"Sun, Sha",assoc prof,research,"Sun, Sha","Sun, Sha[Author]","Sun, Sha[Author] AND Irvine[Affiliation]","['39546568', '39001870', '38352866', '38095719', '35967418', '35039434']","RNA, Long Noncoding; Female; Humans; Ovarian Neoplasms; Neoplastic Stem Cells; Cell Plasticity; Cell Line, Tumor; Gene Expression Regulation, Neoplastic; Animals; Female; Male; Alleles; Drosophila melanogaster; Drosophila Proteins; Gene Frequency; Genes, X-Linked; Genetic Fitness; Genetic Linkage; Models, Genetic; Selection, Genetic; X Chromosome; Homeodomain Proteins; Animals; Female; Humans; Mice; Glomerulonephritis; Kidney; Mice, Inbred MRL lpr; Proteinuria; Toll-Like Receptor 5; Humans; RNA, Long Noncoding; Sex Characteristics; Neoplasms; Female; Male; Epigenesis, Genetic; Animals; Gene Expression Regulation, Neoplastic; Sex Chromosomes; Animals; Dysbiosis; Lactobacillus; Lymphadenopathy; Mice; Mice, Inbred MRL lpr; Splenomegaly; Animals; Disease Models, Animal; Female; Gastrointestinal Microbiome; Kidney; Lupus Nephritis; Male; Mice; Mice, Inbred MRL lpr; MicroRNAs; RNA, Ribosomal, 16S; Spleen"
"Swarup, Vivek",assoc prof,research,"Swarup, Vivek","Swarup, Vivek[Author]","Swarup, Vivek[Author] AND Irvine[Affiliation]","['40060680', '40015966', '39988890', '39844286', '39809279', '39578645', '39484433', '39282421', '39053462', '38907165', '38895362', '38869276', '38616896', '38534018', '38489267', '38460121', '38426371', '37546983', '37426759', '37277179']","Animals; Brain; Mice; Transcriptome; Postmortem Changes; Tauopathies; Mice, Transgenic; Mice, Inbred C57BL; Male; Disease Models, Animal; Time Factors; Neurons; Female; Animals; Microglia; Integrases; Mice; Mice, Transgenic; Alzheimer Disease; Disease Models, Animal; Brain; Mice, Inbred C57BL; Plaque, Amyloid; Male; Female; Animals; Microglia; Mice; Alzheimer Disease; Plaque, Amyloid; tau Proteins; Mice, Transgenic; Disease Models, Animal; Tauopathies; Brain; Apolipoproteins E; Humans; Animals; Mice; Humans; Spinal Cord Injuries; Wound Healing; Myeloid Cells; Spinal Cord; Aging; Female; Mice, Inbred C57BL; Killer Cells, Natural; Male; Natural Killer T-Cells; CD8-Positive T-Lymphocytes; Alzheimer Disease; Animals; Humans; Down Syndrome; Transcriptome; Mice; Female; Gene Expression Profiling; Disease Models, Animal; Male; Cell Nucleus; Aged; Gene Regulatory Networks; Aged, 80 and over; Cell Communication; Animals; Immunity, Innate; Mice; Aging; Remyelination; Microglia; Myeloid Cells; Central Nervous System; Mice, Inbred C57BL; Myelin Sheath; Epigenesis, Genetic; Demyelinating Diseases; Disease Models, Animal; Animals; Astrocytes; Spinal Cord Injuries; Mice; Male; Wound Healing; Female; Stroke; Mice, Inbred C57BL; Cellular Reprogramming; Oligodendrocyte Precursor Cells; Cell Proliferation; MicroRNAs; Encephalitis Virus, Japanese; Microglia; Fatty Acids, Volatile; Mice; Animals; Inflammation; Encephalitis, Japanese; Cell Line; Transcription Factors; NF-KappaB Inhibitor alpha; NF-kappa B; Signal Transduction; Humans; Alzheimer Disease; Humans; Systems Biology; Gene Regulatory Networks; Epigenomics; Genomics; Brain; Multiomics; Mice; Animals; Habenula; Cocaine; Memory; Gene Expression Regulation; Recurrence; Animals; Mice; Alzheimer Disease; Amyloid beta-Peptides; Disease Models, Animal; Mice, Transgenic; Neuroglia; Plaque, Amyloid; Humans; Mice; Humans; Female; Animals; Alzheimer Disease; Plaque, Amyloid; Resilience, Psychological; Mice, Inbred C57BL; Microglia; Genetic Variation; Disease Models, Animal; Mice, Transgenic; Amyloid beta-Peptides; Humans; Transcriptome; Autism Spectrum Disorder; Gene Expression Profiling; Gene Regulatory Networks; Alzheimer Disease; Rats; Humans; Male; Animals; Axons; Integrins; Nerve Regeneration; Rats, Sprague-Dawley; Spinal Cord; Spinal Cord Injuries; Ganglia, Spinal; Sensory Receptor Cells"
